gcid,Category
bonesetting_house,Bonesetting house
bonsai_plant_supplier,Bonsai plant supplier
book_publisher,Book publisher
book_store,Book store
bookbinder,Bookbinder
bookkeeping_service,Bookkeeping service
bookmaker,Bookmaker
books_wholesaler,Books wholesaler
boot_camp,Boot camp
boot_repair_shop,Boot repair shop
boot_store,Boot store
border_crossing_station,Border crossing station
border_guard,Border guard
botanical_garden,Botanical garden
bottle_and_can_redemption_center,Bottle & can redemption center
bottled_water_supplier,Bottled water supplier
bouncy_castle_hire,Bouncy castle hire
boutique,Boutique
bowling_alley,Bowling alley
bowling_club,Bowling club
bowling_supply_shop,Bowling supply shop
box_lunch_supplier,Box lunch supplier
boxing_club,Boxing club
boxing_gym,Boxing gym
boxing_ring,Boxing ring
boys_high_school,Boys' high school
bpo_company,BPO company
bpo_placement_agency,BPO placement agency
brake_shop,Brake shop
brazilian_pastelaria,Brazilian pastelaria
brazilian_restaurant,Brazilian restaurant
breakfast_restaurant,Breakfast restaurant
brewery,Brewery
brewing_supply_store,Brewing supply store
brewpub,Brewpub
brick_manufacturer,Brick manufacturer
bricklayer,Bricklayer
bridal_shop,Bridal shop
bridge,Bridge
bridge_club,Bridge club
british_restaurant,British restaurant
brunch_restaurant,Brunch restaurant
bubble_tea_store,Bubble tea store
buddhist_supplies_store,Buddhist supplies store
buddhist_temple,Buddhist temple
buffet_restaurant,Buffet restaurant
bugatti_dealer,Bugatti dealer
buick_dealer,Buick dealer
building_consultant,Building consultant
building_design_company,Building design company
building_designer,Building designer
building_equipment_hire_service,Building equipment hire service
building_firm,Building firm
building_inspector,Building inspector
building_materials_market,Building materials market
building_materials_store,Building materials store
building_materials_supplier,Building materials supplier
building_restoration_service,Building restoration service
building_society,Building society
building_surveyor,Chartered surveyor
bulgarian_restaurant,Bulgarian restaurant
bullring,Bullring
bungee_jumping_center,Bungee jumping center
burglar_alarm_store,Burglar alarm store
burmese_restaurant,Burmese restaurant
burrito_restaurant,Burrito restaurant
bus_and_coach_company,Bus and coach company
bus_charter,Bus charter
bus_company,Bus company
bus_depot,Bus depot
bus_ticket_agency,Bus ticket agency
bus_tour_agency,Bus tour agency
business_administration_service,Business administration service
business_banking_service,Business banking service
business_broker,Business broker
business_center,Business center
business_development_service,Business development service
business_management_consultant,Business management consultant
business_networking_company,Business networking company
business_park,Business park
business_school,Business school
business_to_business_service,Business to business service
butane_gas_supplier,Butane gas supplier
butcher_shop,Butcher shop
butcher_shop_deli,Butcher shop deli
butsudan_store,Butsudan store
cabaret_club,Cabaret club
cabin_rental_agency,Cabin rental agency
cabinet_maker,Cabinet maker
cabinet_store,Cabinet store
cable_company,Cable company
cadillac_dealer,Cadillac dealer
cafe,Cafe
cafeteria,Cafeteria
cajun_restaurant,Cajun restaurant
cake_decorating_equipment_shop,Cake decorating equipment shop
cake_shop,Cake shop
californian_restaurant,Californian restaurant
call_center,Call center
call_shop,Call shop
calligraphy_lesson,Calligraphy lesson
calvary_chapel_church,Calvary Chapel church
cambodian_restaurant,Cambodian restaurant
camera_repair_shop,Camera repair shop
camera_store,Camera store
camp,Children's camp
camper_shell_supplier,Camper shell supplier
campground,Campground
camping_cabin,Camping cabin
camping_farm,Camping farm
camping_store,Camping store
canadian_pacific_northwest_restaurant,Pacific Northwest restaurant (Canada)
canadian_restaurant,Canadian restaurant
cancer_treatment_center,Cancer treatment center
candle_store,Candle store
candy_store,Candy store
cane_furniture_store,Cane furniture store
cannabis_store,Cannabis store
cannery,Cannery
canoe_and_kayak_club,Canoe and kayak club
canoe_and_kayak_rental_service,Canoe & kayak rental service
canoe_and_kayak_store,Canoe & kayak store
canoe_and_kayak_tour_agency,Canoe & kayak tour agency
canoeing_area,Canoeing area
cantabrian_restaurant,Cantabrian restaurant
cantonese_restaurant,Cantonese restaurant
cape_verdean_restaurant,Cape Verdean restaurant
capoeira_school,Capoeira school
capsule_hotel,Capsule hotel
car_accessories_store,Car accessories store
car_alarm_supplier,Car alarm supplier
car_battery_store,Car battery store
car_dealer,Car dealer
car_detailing_service,Car detailing service
car_factory,Car factory
car_finance_and_loan_company,Car finance and loan company
car_inspection_station,Car inspection station
car_leasing_service,Car leasing service
car_manufacturer,Car manufacturer
car_race_track,Car racing track
car_rental_agency,Car rental agency
car_repair,Car repair and maintenance service
car_security_system_installer,Car security system installer
car_service,Chauffeur service
car_sharing_location,Car sharing location
car_stereo_store,Car stereo store
car_wash,Car wash
carabinieri_police,Carabinieri police
cardiologist,Cardiologist
cardiovascular_and_thoracic_surgeon,Cardiovascular and thoracic surgeon
career_guidance_service,Career guidance service
caribbean_restaurant,Caribbean restaurant
carnival_club,Carnival club
carpenter,Carpenter
carpet_cleaning_service,Carpet cleaning service
carpet_installer,Carpet installer
carpet_manufacturer,Carpet manufacturer
carpet_store,Carpet store
carpet_wholesaler,Carpet wholesaler
carpool,Carpool
carport_and_pergola_builder,Carport and pergola builder
carriage_ride_service,Carriage ride service
carvery_restaurant,Carvery
cash_and_carry_wholesaler,Cash and carry wholesaler
casino,Casino
casket_service,Casket service
castilian_restaurant,Castilian restaurant
castle,Castle
casual_japanese_style_restaurant,Syokudo and Teishoku restaurant
casual_sushi_restaurant,Conveyor belt sushi restaurant
cat_boarding_service,Cat boarding service
cat_breeder,Cat breeder
cat_trainer,Cat trainer
catalonian_restaurant,Catalonian restaurant
catering_food_and_drink_supplies,Catering food and drink supplier
catering_service,Caterer
cathedral,Cathedral
catholic_cathedral,Catholic cathedral
catholic_church,Catholic church
catholic_school,Catholic school
cattery,Cattery
cattle_farm,Cattle farm
cattle_market,Cattle market
caucasian_restaurant,Caucasian restaurant
cbse_school,CBSE school
cd_store,CD store
ceiling_supplier,Ceiling supplier
cell_phone_accessory_store,Cell phone accessory store
cell_phone_charging_station,Cell phone charging station
cell_phone_store,Cell phone store
cement_manufacturer,Cement manufacturer
cement_supplier,Cement supplier
cemetery,Cemetery
cendol_restaurant,Cendol restaurant
central_american_restaurant,Central American restaurant
central_authority,Central authority
central_bank,Central bank
central_european_restaurant,Central European restaurant
central_javanese_restaurant,Central Javanese restaurant
ceramic_manufacturer,Ceramic manufacturer
ceramics_wholesaler,Ceramics wholesaler
certification_agency,Certification agency
certified_public_accountant,Certified public accountant
chalet,Chalet
chamber_of_agriculture,Chamber of agriculture
chamber_of_commerce,Chamber of Commerce
chamber_of_handicrafts,Chamber of handicrafts
champon_noodle_restaurant,Champon noodle restaurant
chankonabe_restaurant,Chanko restaurant
chapel,Chapel
charcuterie,Charcuterie
charity,Charity
charter_school,Charter school
chartered_accountant,Chartered accountant
check_cashing_service,Check cashing service
cheese_manufacturer,Cheese manufacturer
cheese_shop,Cheese shop
cheesesteak_restaurant,Cheesesteak restaurant
chemical_engineer,Chemical engineer
chemical_exporter,Chemical exporter
chemical_manufacturer,Chemical manufacturer
chemical_plant,Chemical plant
chemical_wholesaler,Chemical wholesaler
chemistry_faculty,Chemistry faculty
chemistry_lab,Chemistry lab
chesapeake_restaurant,Chesapeake restaurant
chess_and_card_club,Chess and card club
chess_club,Chess club
chess_instructor,Chess instructor
chettinad_restaurtant,Chettinad restaurant
chevrolet_dealer,Chevrolet dealer
chicken_hatchery,Chicken hatchery
chicken_restaurant,Chicken restaurant
chicken_shop,Chicken shop
chicken_wings_restaurant,Chicken wings restaurant
child_care_agency,Child care agency
child_health_care_centre,Child health care centre
child_psychiatrist,Child psychiatrist
child_psychologist,Child psychologist
childbirth_class,Childbirth class
children_amusement_center,Children's amusement center
children_hall,Children hall
children_policlinic,Children Policlinic
childrens_book_store,Childrens book store
childrens_cafe,Childrens cafe
childrens_clothing_store,Children's clothing store
childrens_club,Childrens club
childrens_farm,Childrens farm
childrens_furniture_store,Children's furniture store
childrens_home,Childrens home
childrens_hospital,Children's hospital
childrens_library,Childrens library
childrens_museum,Children's museum
childrens_party_buffet,Childrens party buffet
childrens_party_service,Children's party service
childrens_store,Childrens store
childrens_theater,Childrens theater
chilean_restaurant,Chilean restaurant
chimney_services,Chimney services
chimney_sweep,Chimney sweep
chinaware_store,Chinaware store
chinese_language_instructor,Chinese language instructor
chinese_language_school,Chinese language school
chinese_medicine_clinic,Chinese medicine clinic
chinese_medicine_store,Chinese medicine store
chinese_noodle_restaurant,Chinese noodle restaurant
chinese_pastry,Chinese bakery
chinese_restaurant,Chinese restaurant
chinese_supermarket,Chinese supermarket
chinese_takeaway,Chinese takeaway
chinese_tea_house,Chinese tea house
chiropractor,Chiropractor
chocolate_artisan,Chocolate artisan
chocolate_cafe,Chocolate cafe
chocolate_factory,Chocolate factory
chocolate_shop,Chocolate shop
choir,Choir
chop_bar,Chop bar
chophouse_restaurant,Chophouse restaurant
christian_book_store,Christian book store
christian_church,Christian church
christian_college,Christian college
christmas_market,Christmas market
christmas_store,Christmas store
christmas_tree_farm,Christmas tree farm
chrysler_dealer,Chrysler dealer
church,Church
church_of_christ,Church of Christ
church_of_jesus_christ_of_latter_day_saints,Church of Jesus Christ of Latter-day Saints
church_of_the_nazarene,Church of the Nazarene
church_supply_store,Church supply store
churreria,Churreria
cider_bar,Cider bar
cider_mill,Cider mill
cig_kofte_restaurant,Cig kofte restaurant
cigar_shop,Cigar shop
cinema_equipment_supplier,Cinema equipment supplier
circus,Circus
citizen_information_bureau,Citizen information bureau
citizens_advice_bureau,Citizens advice bureau
citroen_dealer,Citroen dealer
city_administration,City administration
city_clerks_office,City clerk's office
city_courthouse,City courthouse
city_department_of_environment,City Department of Environment
city_department_of_public_safety,City Department of Public Safety
city_department_of_transportation,City department of transportation
city_district_office,City district office
city_employment_department,City employment department
city_government_office,City government office
city_hall,City or town hall
city_park,City park
city_pillar_shine,City pillar shrine
city_tax_office,City tax office
civic_center,Civic center
civil_defence,Civil defense
civil_engineer,Civil engineer
civil_engineering_company,Civil engineering company
civil_examinations_academy,Civil examinations academy
civil_law_attorney,Civil law attorney
civil_police,Civil police
civil_registry,Civil registry
class,Class
classified_ads_newspaper_publisher,Classified ads newspaper publisher
cleaners,Cleaners
cleaning_products_supplier,Cleaning products supplier
clergyman,Clergyman
clock_repair_service,Clock repair service
clock_watch_maker,Clock watch maker
closed_circuit_television,Closed circuit television
clothes_and_fabric_manufacturer,Clothes and fabric manufacturer
clothes_and_fabric_wholesaler,Clothes and fabric wholesaler
clothes_market,Clothes market
clothing_alteration_service,Clothing alteration service
clothing_store,Clothing store
clothing_supplier,Clothing supplier
clothing_wholesale_market_place,Clothing wholesale market place
clothing_wholesaler,Clothing wholesaler
club,Club
cng_fittment_center,CNG fitment center
cng_station,Compressed natural gas station
coaching_center,Coaching center
coal_exporter,Coal exporter
coal_supplier,Coal supplier
coalfield,Coalfield
coast_guard_station,Coast guard station
coat_wholesaler,Coat wholesaler
cocktail_bar,Cocktail bar
coed_school,Co-ed school
coffee_machine_supplier,Coffee machine supplier
coffee_roasters,Coffee roasters
coffee_shop,Coffee shop
coffee_stand,Coffee stand
coffee_store,Coffee store
coffee_vending_machine,Coffee vending machine
coffee_wholesaler,Coffee wholesaler
coffin_supplier,Coffin supplier
coin_dealer,Coin dealer
coin_operated_laundry_equipment_supplier,Coin operated laundry equipment supplier
coin_operated_locker,Coin operated locker
cold_cut_store,Cold cut store
cold_noodle_restaurant,Cold noodle restaurant
cold_storage_facility,Cold storage facility
collectibles_store,Collectibles store
college,College
college_of_agriculture,College of agriculture
colombian_restaurant,Colombian restaurant
combined_primary_and_secondary_school,Combined primary and secondary school
comedy_club,Comedy club
comic_book_store,Comic book store
comic_cafe,Comic cafe
commercial_agent,Commercial agent
commercial_cleaning_service,Commercial cleaning service
commercial_printer,Commercial printer
commercial_real_estate_agency,Commercial real estate agency
commercial_real_estate_inspector,Commercial real estate inspector
commercial_refrigeration,Commercial refrigeration
commercial_refrigerator_supplier,Commercial refrigerator supplier
commissioner_for_oaths,Commissioner for Oaths
communications_central,Communications central
community_center,Community center
community_college,Community college
community_garden,Community garden
community_health_center,Community health centre
community_school,Community school
company_registry,Company registry
comprehensive_secondary_school,Comprehensive secondary school
computer_accessories_store,Computer accessories store
computer_club,Computer club
computer_consultant,Computer consultant
computer_desk_store,Computer desk store
computer_hardware_manufacturer,Computer hardware manufacturer
computer_networking_center,Computer networking service
computer_repair_service,Computer repair service
computer_security_service,Computer security service
computer_service,Computer service
computer_software_store,Computer software store
computer_store,Computer store
computer_support_and_services,Computer support and services
computer_training_school,Computer training school
computer_wholesaler,Computer wholesaler
concert_hall,Concert hall
concrete_contractor,Concrete contractor
concrete_factory,Concrete factory
concrete_metal_framework_supplier,Concrete metal framework supplier
concrete_product_supplier,Concrete product supplier
condiments_supplier,Condiments supplier
condominium_complex,Condominium complex
condominium_rental_agency,Condominium rental agency
confectionery,Confectionery
confectionery_wholesaler,Confectionery wholesaler
conference_center,Conference center
congregation,Congregation
conservation_department,Conservation department
conservative_club,Conservative club
conservative_synagogue,Conservative synagogue
conservatory_construction_contractor,Conservatory construction contractor
conservatory_of_music,Conservatory of music
conservatory_specialist,Conservatory supply & installation
consignment_shop,Consignment shop
construction_and_maintenance_office,Construction and maintenance office
construction_company,Construction company
construction_equipment_supplier,Construction equipment supplier
construction_machine_dealer,Construction machine dealer
construction_machine_rental_service,Construction machine rental service
construction_material_wholesaler,Construction material wholesaler
consultant,Consultant
consumer_advice_center,Consumer advice center
contact_lenses_supplier,Contact lenses supplier
container_service,Container service
container_supplier,Container supplier
container_terminal,Container terminal
containers_supplier,Containers supplier
contemporary_louisiana_restaurant,Contemporary Louisiana restaurant
continental_restaurant,Continental restaurant
contractor,Contractor
convenience_store,Convenience store
convention_center,Convention center
convention_information_bureau,Convention information bureau
conveyancer,Conveyancer
cookie_shop,Cookie shop
cooking_class,Cooking class
cooking_school,Cooking school
cooling_plant,Cooling plant
cooperative_bank,Cooperative bank
copier_repair_service,Copier repair service
copper_supplier,Copper supplier
coppersmith,Coppersmith
copy_shop,Copy shop
