"google","gcid","infogroup","acxiom","localeze","factual","foursquare","superpages","elocal","botw","bing","citygrid","thomsonlocal","centralindex","navads","gmb","judysbook","apple","synup"
"Tax Collector's Office","gcid:tax_collectors_office","federal government-finance & taxation","tax collectors","government services","community and government,government departments and agencies","government building","taxation & monetary policy","government agencies","taxes","tax collector's office","general government offices","government agencies","local government","tax collector's office","tax collector's office","Tax Collector's Office","Tax Services","Tax Services"
"Tax Department","gcid:tax_department","business services nec","tax agencies","miscellaneous government services","community and government,government departments and agencies","government building","tax collectors","government agencies","taxes","tax department","general government offices","government agencies","taxation & vat specialists","tax department","tax department","Tax Department","Tax Services","Tax Services"
"Tax Preparation","gcid:tax_preparation","tax return preparation & filing","tax preparer & consultants","tax return preparation & filing","businesses and services,financial,accounting and bookkeeping","financial or legal service","tax return preparation","accountants & tax services","tax return preparation & filing","tax return preparation & filing","tax return preparation","tax consultants","taxation & vat specialists","tax preparation","tax preparation","Tax Preparation","Local Services","Consulting/Business Services"
"Tax Preparation Service","gcid:tax_preparation_service","tax return preparation & filing","tax preparer & consultants","payroll services","businesses and services,financial,accounting and bookkeeping","financial or legal service","payroll & payroll tax preparation services","accountants & tax services","tax return preparation & filing","tax return preparation & filing","tax return preparation","payroll services","taxation & vat specialists","tax preparation service","tax preparation service","Tax Preparation Service","Payroll Services","Payroll Services"
"Taxi Service","gcid:taxi_service","taxicabs & transportation service","taxicabs & transportation service","taxicab service","transportation,taxi and car services","taxi","taxi services","taxi service","taxi cabs","taxi services","taxis & shuttles","taxis","taxis","taxi service","taxi service","Taxi Service","Taxis","Taxis"
"Taxi Stand","gcid:taxi_stand","taxicabs & transportation service","taxicabs & transportation service","taxicab service","transportation,taxi and car services","taxi","taxis","taxi service","taxi cabs","taxi stand","taxis","taxis","taxis","taxi stand","taxi stand","Taxi Stand","Taxis","Taxis"
"Taxidermist","gcid:taxidermist","taxidermists","taxidermists","taxidermy","businesses and services","hunting supply","taxidermists","professional services","taxidermy","taxidermist","taxidermists","taxidermists","taxidermy activities","taxidermist","taxidermist","Taxidermist","Taxidermy","Taxidermy"
"Tea House","gcid:tea_house","tea rooms","tea houses","coffee houses & tea rooms","social,food and dining,cafes, coffee and tea houses","coffee shop","coffee & tea shops","coffee bars & tea rooms","tea rooms","tea house","coffee & tea shops","cafes","tea processors","tea house","tea house","Tea House","Tea Rooms","Cafes"
"Tea Store","gcid:tea_store","coffee & tea","coffee & tea","coffee houses & tea rooms","social,food and dining,cafes, coffee and tea houses","coffee shop","coffee & tea shops","coffee bars & tea rooms","coffee & tea retail","tea store","coffee & tea shops","tea & coffee merchants","tea processors","tea store","tea store","Tea Store","Coffee & Tea","Consulting/Business Services"
"Technical School","gcid:technical_school","technical schools","school industrial & technical & trade","schools - training & vocational","community and government,education,vocational schools","community college","junior colleges & technical institutes","vocational schools & instructors","schools technical","technical school","junior colleges & technical institutes","colleges - technical & agricultural","technical and industrial schools","technical school","technical school","Technical School","Vocation School","Educational Services"
"Teeth Whitening Service","gcid:teeth_whitening_service","dentists","teeth whitening products & services","dentist cosmetic dentistry","healthcare,dentists","dentist's office","cosmetic dentists","cosmetic dentists","teeth whitening products & services","teeth whitening service","tooth whitening","dentists","dentists","teeth whitening service","teeth whitening service","Teeth Whitening Service","Teeth Whitening","Dentists"
"Telecommunications Contractor","gcid:telecommunications_contractor","telecommunications contractors","telecommunications contractors","telecommunications installation & repair","businesses and services,home improvement,contractors","it services","telecommunications contractors","contractors","telecommunication contractors","telecommunications contractor","telecommunications contractors","telecommunication consultants","telecommunications installation","telecommunications contractor","telecommunications contractor","Telecommunications Contractor","Telecommunications","Telecommunications"
"Telecommunications Service Provider","gcid:telecommunications_service_provider","telecommunications services","telecommunications services","telecommunication companies","businesses and services,telecommunication services","tech startup","telecommunications services","telecommunication services","telecommunications services","telephone company","telecommunications","telecommunication services","telecommunications network providers & services","telecommunications service provider","telecommunications service provider","Telecommunications Service Provider","Telecommunications","Telecommunications"
"Telemarketing Service","gcid:telemarketing_service","call centers","telemarketing equipment & services","telemarketing services","businesses and services,telecommunication services","office","telemarketing services","advertising & marketing","telemarketing services","telemarketing services","telemarketing","telemarketing","telemarketing services & call centres","telemarketing service","telemarketing service","Telemarketing Service","Marketing","Marketing"
"Telephone Answering Service","gcid:telephone_answering_service","paging & answering service","telephone answering service referrals","telephone answering service","businesses and services,telecommunication services","office","answering services","answering services","telephone answering service","telephone answering service","answering & paging service","telecommunication services","telephone answering services","telephone answering service","telephone answering service","Telephone Answering Service","Local Services","Consulting/Business Services"
"Telephone Company","gcid:telephone_company","telephone equipment & supplies","long distance telephone companies & svc","telephone service long distance","community and government,utility companies","non-profit","long distance phone services","utility companies","telephone companies","telephone company","telephone companies","telecommunication services","telecommunications network providers & services","telephone company","telephone company","Telephone Company","Telecommunications","Telecommunications"
"Telephone Exchange","gcid:telephone_exchange","telephone equipment & supplies","telephones communications services","telephone & television cable contractors","businesses and services,telecommunication services","office","phone equipment & systems service & repair","telecommunication services","telephone equipment","telecommunications equipment supplier","telephone service","telecommunication services","telecommunications network providers & services","telephone exchange","telephone exchange","Telephone Exchange","Television Service Providers","Television Service Providers"
"Telescope Store","gcid:telescope_store","telescopes","telescopes","telescopes","businesses and services,scientific","miscellaneous shop","binoculars & telescopes","shopping & retail","telescopes","telescope store","science kits","binoculars & telescopes","binocular and telescope repairs","telescope store","telescope store","Telescope Store","Local Services","Consulting/Business Services"
"Television Repair Service","gcid:television_repair_service","television & radio-service/repair","television & radio service & repair","television & radio service & repair","businesses and services,repair services","other repair shop","televisions service & repair","tv repair","television service & repair","television repair service","audio-visual equipment repair","tv repairs","radio and television production services","television repair service","television repair service","Television Repair Service","RV Repair","Television Service Providers"
"Television Station","gcid:television_station","television station planning","television broadcasting companies & stations","television stations & broadcasting companies","businesses and services,entertainment,media","general entertainment","television stations","television stations","television stations & broadcasting companies","television stations","television broadcasting","radio & television stations","multimedia production","television station","television station","Television Station","Television Stations","Consulting/Business Services"
"Television Tower","gcid:television_tower","television service providers","towers communications","television cable catv & satellite","businesses and services,telecommunication services","tv station","television stations","television stations","towers communication","television stations","television broadcasting","telecommunication services","television & radio aerials - suppliers and erectors","television tower","television tower","Television Tower","Television Service Providers","Television Service Providers"
"Temp Agency","gcid:temp_agency","employment contractors-temporary help","employment contractors temporary help commerc","employment contractors temporary help services","businesses and services,employment agencies","office","temporary employment agencies","employment services","temporary employment","temp agency","temp agencies","employment services","recruitment agency","temp agency","temp agency","Temp Agency","Employment Agencies","Employment Agencies"
"Tempura Restaurant","gcid:tempura_dish_restaurant","restaurants","restaurant japanese","restaurants","social,food and dining,restaurants,japanese","japanese restaurant","japanese restaurants","japanese restaurants","restaurants","tempura restaurant","restaurants","restaurants - japanese","restaurants","tempura restaurant","tempura restaurant","General Business Service","Restaurants","Japanese Restaurant"
"Tennis Club","gcid:tennis_club","tennis courts-private","tennis clubs","tennis court private","sports and recreation,sports clubs","tennis","tennis clubs","assorted outdoor activities","tennis clubs","tennis club","tennis courts","sports clubs & associations","sports clubs","tennis club","tennis club","Tennis Club","Tennis","Tennis"
"Tennis Court","gcid:tennis_court","tennis courts-public","tennis courts","tennis court public","sports and recreation,racquet sports,tennis","tennis court","tennis courts","tennis courts","tennis courts","tennis court","tennis courts","tennis courts","tennis courts","tennis court","tennis court","Tennis Court","Tennis","Tennis"
"Tennis Court Construction Company","gcid:tennis_court_construction_company","tennis court construction","tennis courts construction","concrete contractors","businesses and services,construction","office","tennis courts construction","tennis courts","tennis court contractors","tennis court construction company","tennis court construction","tennis courts & sports surfaces - construction","tennis courts construction","tennis court construction company","tennis court construction company","Tennis Court Construction Company","Contractors","Contractors"
"Tennis Instructor","gcid:tennis_instructor","tennis instruction","tennis instructions","tennis instructions","sports and recreation,racquet sports,tennis","tennis","tennis instruction","lessons & instructors (sports/active)","tennis instruction","tennis instructor","tennis lessons","sports coaching & instruction","sports coaching","tennis instructor","tennis instructor","Tennis Instructor","Tennis","Tennis"
"Tennis Store","gcid:tennis_store","tennis equipment & supplies-retail","tennis equip clothing & supls","tennis equipment & supplies","retail,sporting goods","tennis","tennis equipment & supplies retail","sporting goods","tennis equipment & supplies retail","tennis store","tennis equipment sales","sports goods shops","tennis courts","tennis store","tennis store","Tennis Store","Tennis","Tennis"
"Tent Rental Service","gcid:tent_rental_service","party supplies-renting","tents & tent rental","party supplies renting","businesses and services,equipment rental","event space","tent sales & rental","camping equipment","tent rental","tent rental service","tent rental","camping equipment & supplies","tent manufacturers","tent rental service","tent rental service","Tent Rental Service","RV Rental","RV Rental"
"Teppanyaki Restaurant","gcid:teppan_grill_restaurant","restaurants","restaurant japanese","restaurants","social,food and dining,restaurants,asian","asian restaurant","asian restaurants","restaurants","restaurants","teppanyaki restaurant","restaurants","restaurants - other","japanese restaurant","teppanyaki restaurant","teppanyaki restaurant","General Business Service","Restaurants","Asian Restaurants"
"Tex-Mex Restaurant","gcid:tex_mex_restaurant","restaurants","tex mex restaurants","restaurants","social,food and dining,restaurants","restaurant","southwestern restaurants","restaurants","restaurants","tex-mex restaurant","restaurants","restaurants - other","restaurants","tex-mex restaurant","tex-mex restaurant","General Business Service","South Western","Specialty Food (gourmet)"
"Thai Massage Therapist","gcid:thai_massage_therapist","massage therapists","massage therapy & therapists","massage therapists","businesses and services,personal care,massage clinics and therapists","massage studio","massage & bodywork","massage therapists","massage therapists","thai massage therapist","massage therapists","massage","therapists","thai massage therapist","thai massage therapist","Thai Massage Therapist","Massage Therapy","Massage Therapy"
"Thai Restaurant","gcid:thai_restaurant","thai food","restaurant thai","restaurants","social,food and dining,restaurants,thai","thai restaurant","thai restaurants","thai restaurants","restaurants thai","thai restaurants","thai","restaurants - thai","thai restaurant","thai restaurant","thai restaurant","Thai Restaurant","Thai","Thai Restaurant"
"Theme Park","gcid:theme_park","amusement & theme parks","amusement places","amusement places","social,entertainment,arcades and amusement parks","theme park","amusement & theme parks","theme & amusement parks","amusement and game centers","theme park","amusement parks","theme parks","theme parks","theme park","theme park","Theme Park","Amusement Parks","Amusement Parks"
"Thrift Store","gcid:thrift_store","thrift shops","thrift stores","thrift stores","retail,vintage and thrift","thrift / vintage store","thrift stores","thrift stores & vintage clothing","thrift stores","thrift stores","thrift stores","secondhand shops","second hand furniture","thrift store","thrift store","Thrift Store","Thrift Stores","Thrift Stores"
"Tile Contractor","gcid:tile_contractor","contractors-tile","tile contractors floor","tile ceramic contractors & dealers","businesses and services,home improvement,contractors","moving target","tiles contractors","general contractors","tile contractors","tile contractor","tile contractors","home improvement centres","tilers","tile contractor","tile contractor","Tile Contractor","Contractors","Contractors"
"Tile Store","gcid:tile_store","tile-ceramic-contractors & dealers","carpet & tile dealers","tile dealers retail","retail,construction supplies","miscellaneous shop","tile dealers","tile dealers","tile dealers retail","tile store","floor tile","tile stockists","tile manufacture","tile store","tile store","Tile Store","Local Services","Consulting/Business Services"
"Time and Temperature Announcement Service","gcid:time_and_temperature_announcement_service","advertising-time & temp announcements","time & temperature announcements","time & temperature announcements","businesses and services","office","time & temperature announcements","news & media","time & temperature announcements","weather forecast services","telephone recorded announcements","temperature monitoring systems mnfrs","temperature monitoring equipment","time and temperature announcement service","time and temperature announcement service","Time and Temperature Announcement Service","Local Services","Consulting/Business Services"
"Timeshare Agency","gcid:timeshare_agency","vacation rentals","vacation time share","vacation homes rentals","businesses and services,real estate","real estate office","timeshares","vacation rentals","time shares","timeshare agency","time shares","timeshare accommodation","timeshare accommodation","timeshare agency","timeshare agency","Timeshare Agency","Vacation Rentals","Vacation Rentals"
"Tire Shop","gcid:tire_shop","tire-dealers-retail","tire dealers new & used","tire dealers","automotive,car parts and accessories","automotive shop","auto tire shop equipment & supplies","tire dealers","tire dealers","tire stores","tires","tyre wholesalers","tyre wholesale","tire shop","tire shop","Tire Shop","Tires","Tires"
"Title Company","gcid:title_company","title companies","title companies & agents","title companies & agents","businesses and services,real estate,real estate development and title companies","real estate office","real estate title search & abstract services","title & escrow companies","title companies","title company","title companies","government agencies","insurance - other","title company","title company","Title Company","Real Estate Agents","Real Estate Agents"
"Tobacco Shop","gcid:tobacco_shop","cigar cigarette & tobacco dealers-retail","tobacco stores & stands","cigar cigarette & tobacco dealers wholesale","retail,tobacco","smoke shop","cigar, cigarette, & tobacco dealers","tobacco shops","tobacco shops","cigar & tobacco shops","cigarettes & tobacco","tobacconists - retail","tobacco and tobacco products manufacture","tobacco shop","tobacco shop","Tobacco Shop","Tobacco Shops","Tobacco Pipes & Cigars"
"Toll Booth","gcid:toll_station","toll booths-automatic-manufacturers","booths toll parking lot etc","miscellaneous government services","transportation","toll booth","toll booths","transportation & parking","booths toll parking lot etc","transportation service","telephone service","car transportation","toll bridge and road operators","toll booth","toll booth","General Business Service","Transportation","Transportation"
"Toner Cartridge Supplier","gcid:toner_cartridge_supplier","printer cartridges (whls)","toner cartridges","printing supplies","businesses and services,printing, copying and signage","miscellaneous shop","toner cartridges","business design & printing","toner cartridges","toner cartridge supplier","toner cartridges","printers services & supplies","printers services and supplies","toner cartridge supplier","toner cartridge supplier","Toner Cartridge Supplier","Art Supplies","Consulting/Business Services"
"Tongue Restaurant","gcid:tongue_restaurant","restaurants","restaurants","restaurants","social,food and dining,restaurants","restaurant","restaurants","restaurants","restaurants","tongue restaurant","restaurants","restaurants - other","restaurants","tongue restaurant","tongue restaurant","Tongue Restaurant","Restaurants","Food delivery services"
"Tonkatsu Restaurant","gcid:tonkatsu_restaurant","restaurants","restaurant japanese","restaurants","social,food and dining,restaurants,asian","asian restaurant","asian restaurants","restaurants","restaurants","tonkatsu restaurant","restaurants","restaurants - japanese","japanese restaurant","tonkatsu restaurant","tonkatsu restaurant","Tonkatsu Restaurant","Restaurants","Asian Restaurants"
"Tool & Die Shop","gcid:tool_and_die_shop","tool & die makers (mfrs)","tool & die makers","tool & die makers","businesses and services,machine shops","miscellaneous shop","hand & power tools","machine shops","tool & die makers","tool & die shop","tool & die makers","builders tools & equipment mnfrs","die casting equipment and services","tool & die shop","tool & die shop","Tool & Die Shop","Local Services","Consulting/Business Services"
"Tool Grinding Service","gcid:tool_grinding_service","tool grinding-industrial","tool grinding industrial","tool grinding industrial","businesses and services,industrial machinery and vehicles","building","grinding tools","industrial manufacturing","tool grinding industrial","tool grinding service","tools","tool sharpening, repairing & servicing","tool repair","tool grinding service","tool grinding service","Tool Grinding Service","Local Services","Consulting/Business Services"
"Tool Rental Service","gcid:tool_rental_service","rental service-stores & yards","tools rentals","tools renting","businesses and services,equipment rental","building","tool rental & leasing","industrial manufacturing","tools renting","tool rental service","tool & equipment rental","tool hire","tool hire","tool rental service","tool rental service","Tool Rental Service","RV Rental","RV Rental"
"Tool Repair Shop","gcid:tool_repair_shop","power tool supplies & repairs","tools repair & parts","tools repairing & parts","businesses and services,machine shops","other repair shop","tools repair & parts","machine shops","tools repairing & parts","tool repair shop","tool repair","tool sharpening, repairing & servicing","tool repair","tool repair shop","tool repair shop","Tool Repair Shop","RV Repair","Appliances & Repair"
"Tool Store","gcid:tool_store","tools-new & used","tools","hardware","businesses and services,home improvement","hardware store","hardware dealers","hardware stores","tools retail","tool store","tools","tool merchants","hardware stores and ironmongers","tool store","tool store","Tool Store","Hardware Stores","Hardware Stores"
"Topsoil Supplier","gcid:topsoil_supplier","topsoil","soil services","topsoil","businesses and services,agriculture and forestry","garden center","top soil & fill soil dealers","home & garden supplies","topsoil","topsoil supplier","wholesale potting soils","top soil merchants","agricultural merchants","topsoil supplier","topsoil supplier","Topsoil Supplier","Local Services","Consulting/Business Services"
"Tour Agency","gcid:tour_agency","tours-operators & promoters","sightseeing tours & attractions","sightseeing tours","travel,travel agents and tour operators","travel agency","tours & charters","travel services & vacation planning","tours operators & promoters","sightseeing tours","tours & excursions","tour operators","tour and holiday operators","tour agency","tour agency","Tour Agency","Local Services","Consulting/Business Services"
"Tourist Attraction","gcid:tourist_attraction","tourist attractions","tourist attractions","tourist attractions","travel,tourist information and services","tourist information center","tourist information & attractions","cultural attractions","tourist attractions","tourist attraction","attractions","tours & sightseeing excursions","tourist attractions","tourist attraction","tourist attraction","Tourist Attraction","Local Services","Consulting/Business Services"
"Tourist Information Center","gcid:tourist_information_center","tourist information","tourists information & attractions","tourists information","travel,tourist information and services","tourist information center","tourist information & attractions","cultural attractions","tourists information","tourist information center","tours & excursions","tourist information","tourist information offices","tourist information center","tourist information center","Tourist Information Center","Local Services","Consulting/Business Services"
"Tower","gcid:tower","towers-radio","antennas & antenna towers","towers","landmarks","monument / landmark","communications towers","landmarks & historical buildings","towers communication","landmarks & historical sites","telecommunications","telecommunication services","tourist attractions","tower","tower","Tower","Local Services","Telecommunications"
"Tower Communication Service","gcid:tower_communication_service","towers (mfrs)","towers communications","towers","businesses and services,telecommunication services","building","communications towers","news & media","towers communication","tower communication service","radio broadcasting","telecommunication services","telecommunications network providers & services","tower communication service","tower communication service","Tower Communication Service","Telecommunications","Telecommunications"
"Towing Service","gcid:towing_service","towing-marine","towing services","road services automotive","automotive,towing","general travel","towing","towing service","automobile towing","towing service","towing","tug & towing services","towing services","towing service","towing service","Towing Service","Towing","Towing"
"Townhouse Complex","gcid:townhouse_complex","townhouses","condominiums & townhouses","condominiums & townhouses","businesses and services,real estate","home (private)","condominiums & townhouses","property management","townhouses","townhouse complex","residential property","serviced apartments","apartment buildings","townhouse complex","townhouse complex","Townhouse Complex","Local Services","Property Management"
"Toy Store","gcid:toy_store","toys-retail","toy stores","toys retail","retail,toys","toy / game store","toy stores","toy stores","toys retail","toy store","toy & game sales","toy shops","toy libraries","toy store","toy store","Toy Store","Toy Stores","Consulting/Business Services"
"Toyota Dealer","gcid:toyota_dealer","automobile dealers-new cars","automobile dealers toyota","automobile dealers new & used","automotive,car dealers and leasing","car dealership","auto dealers","car dealerships","automobile dealers new cars","toyota dealer","toyota","car dealers","car dealers","toyota dealer","toyota dealer","Toyota Dealer","Car Dealers","Car Dealers"
"Tractor Dealer","gcid:tractor_dealer","tractor-dealers (whls)","mowers & tractors","tractor dealers","businesses and services,agriculture and forestry","automotive shop","agricultural tractor dealers","agriculture & farming","tractor dealers","tractor dealers","tractors","commercial vehicle dealers","tractor manufacturers","tractor dealer","tractor dealer","Tractor Dealer","RV Dealers","RV Dealers"
"Tractor Equipment Supplier","gcid:tractor_equipment_supplier","tractor equipment & parts (whls)","tractors equip & parts","tractor equipment & parts","businesses and services,industrial machinery and vehicles","automotive shop","tractor equipment & parts dealers","agriculture & farming","tractor equipment & parts","tractor equipment supplier","wholesale tractor parts","commercial vehicle dealers","safety equipment suppliers","tractor equipment supplier","tractor equipment supplier","Tractor Equipment Supplier","Local Services","Consulting/Business Services"
"Tractor Repair Shop","gcid:tractor_repair_shop","tractor-repairing & service","tractors repair & service","tractor repair & service","automotive,maintenance and repair","automotive shop","agricultural tractors service & repair","auto repair & service","tractor repair & service","tractor repair shop","tractor repair","commercial vehicle servicing, repairs, parts & accessories","tractor manufacturers","tractor repair shop","tractor repair shop","Tractor Repair Shop","Auto Repair","Auto Repair"
"Trade School","gcid:trade_school","trade schools","school business vocational & trade","schools - training & vocational","community and government,education,vocational schools","trade school","industrial & trade schools","vocational schools & instructors","trade schools","vocational & training schools","trade schools","schools - special","technical and industrial schools","trade school","trade school","Trade School","Vocation School","Educational Services"
"Trading Card Store","gcid:trading_card_store","collectibles","trading cards non sports","sports cards & memorabilia","retail,hobby and collectibles","hobby shop","sports cards & memorabilia","collectibles","collectibles","trading card store","collectibles","toy shops","toy shops","trading card store","trading card store","Trading Card Store","Local Services","Consulting/Business Services"
"Traditional American Restaurant","gcid:traditional_us_american_restaurant","restaurants","restaurant american","restaurants","social,food and dining,restaurants,american","american restaurant","american restaurants","american restaurants","restaurants","traditional american restaurant","traditional american","restaurants - american","american restaurant","traditional american restaurant","traditional american restaurant","General Business Service","American (Traditional)","American Restaurants"
"Trailer Dealer","gcid:trailer_dealer","trailers-automobile utility-wholesale","trailers new & used","trailers truck sales","businesses and services,industrial machinery and vehicles","automotive shop","trailer dealers","trailers","trailers automobile","trailer dealer","trailer dealers","trailers - hire & leasing","trailer accessories manufacture","trailer dealer","trailer dealer","Trailer Dealer","Trailer Dealers","Consulting/Business Services"
"Trailer Hitch Supplier","gcid:trailer_hitch_supplier","trailer hitches","trailers hitches","truck towing","businesses and services,industrial machinery and vehicles","automotive shop","trailer hitches retail","trailers","trailer hitches","trailer hitch supplier","wholesale trailer hitches","trailers & towing equipment","trailer accessories manufacture","trailer hitch supplier","trailer hitch supplier","Trailer Hitch Supplier","Local Services","Consulting/Business Services"
"Trailer Manufacturer","gcid:trailer_manufacturer","manufacturers-trailers","trailers mfrs","trailer manufacturing & designing","businesses and services,manufacturing","factory","trailers wholesale & manufacturers","industrial manufacturing","trailers automobile utility wholesale & manufacturers","trailer manufacturer","trailer manufacturers","trailers & towing equipment","caravan dealers","trailer manufacturer","trailer manufacturer","Trailer Manufacturer","Trailer Dealers","Consulting/Business Services"
"Trailer Rental Service","gcid:trailer_rental_service","recreational vehicles-renting & leasing","utility trailer rental","trailers rent & lease","transportation","building","trailers rental & leasing","trailers","trailers rent & lease","trailer rental service","trailer rental","trailers - hire & leasing","trailer repair and hire","trailer rental service","trailer rental service","Trailer Rental Service","Trailer Repair","Consulting/Business Services"
"Trailer Repair Shop","gcid:trailer_repair_shop","repair shops & related services nec","trailers repairing & service","truck body shops","automotive,car parts and accessories","automotive shop","truck body repair & painting","trailers","trailers repair & service","trailer repair shop","trailer repair","trailers & towing equipment","trailer repair and hire","trailer repair shop","trailer repair shop","Trailer Repair Shop","Trailer Repair","Appliances & Repair"
"Trailer Supply Store","gcid:trailer_supply_store","misc indstrl equip & supls nec (whls)","trailers equip & parts","truck towing","automotive,car parts and accessories","automotive shop","trailer hitches retail","trailers","trailer equipment & parts","trailer supply store","trailer parts","trailers & towing equipment","trailer accessories manufacture","trailer supply store","trailer supply store","Trailer Supply Store","Local Services","Consulting/Business Services"
"Train Company","gcid:train_line","transportation services","railroad companies","transportation services","businesses and services,shipping, freight, and material transportation","train station","transportation services","transportation & parking","trains","trains","transportation services","railways","train stations","train company","train company","General Business Service","Trains","Train Stations"
"Train Station","gcid:train_station","transit lines","public transportation","transportation providers","businesses and services,shipping, freight, and material transportation","train station","commuter & public transportation","community services","transportation services","trains","transportation services","railways","train stations","train station","train station","Train Station","Train Stations","Public Transportation"
"Train Stop","gcid:train_stop","trains","trains model","trains","transportation,transport hubs,rail stations","train station","passenger railroads","train & railcar","trains","trains","transportation services","railways","train stations","train stop","train stop","Train Stop","Trains","Train Stations"
"Tram Stop","gcid:tram_stop","transportation services","trans- transportation","transportation providers","businesses and services,shipping, freight, and material transportation","tram","commuter & public transportation","community services","transportation services","transportation service","transportation services","railways","public transport","tram stop","tram stop","Tram Stop","Transportation","Transportation"
"Transcription Service","gcid:transcription_service","transcribing service-tape disc etc","professional services","transcription services","businesses and services","office","transcription services","secretarial services","transcription services","transcription services","transcription","translators & interpreters","secretarial services","transcription service","transcription service","Transcription Service","Professional Services","Consulting/Business Services"
"Transit Stop","gcid:transit_station","transit lines","transit lines","transit lines","transportation,public transportation services","platform","transit lines","transportation & parking","transit lines","transportation service","transit lines","car transportation","public transport","transit stop","transit stop","General Business Service","Public Transportation","Public Transportation"
"Translator","gcid:translator","translators & interpreters","translators & interpreters","translating & interpreting services","businesses and services,translation services","office","translators & interpreters","translation services","translating & interpreting services","translating & interpreting services","translators & interpreters","translators & interpreters","translation","translator","translator","Translator","Translation Services","Translation Services"
"Transmission Shop","gcid:transmission_shop","transmissions-automobile","transmissions shops","transmissions automobile retail","automotive,maintenance and repair,transmissions","automotive shop","auto transmissions","auto repair & service","transmissions automobile retail","transmission shop","transmission repair","car parts","power transmission equipment","transmission shop","transmission shop","Transmission Shop","Transmission Repair","Transmission Repair"
"Transportation Escort Service","gcid:transportation_escort_service","transportation services","escort svc motorized","transportation services","businesses and services,shipping, freight, and material transportation","moving target","transportation services","transportation & parking","transportation services","transportation service","motorized escorts","car transportation","independent escort services","transportation escort service","transportation escort service","Transportation Escort Service","Transportation","Transportation"
"Transportation Infrastructure","gcid:transportation_infrastructure","transportation","public transportation","transportation providers","businesses and services,shipping, freight, and material transportation","general travel","commuter & public transportation","community services","transportation","public transit","transportation services","car transportation","transport consultants","transportation infrastructure","transportation infrastructure","Transportation Infrastructure","Public Transportation","Public Transportation"
"Travel Agency","gcid:travel_agency","tourist information","travel agencies & bureaus","travel & tourism","travel","travel agency","travel agents","travel agents","travel & tourism","travel agencies","travel agencies","tourist information","travel agents","travel agency","travel agency","Travel Agency","Travel Agents","Consulting/Business Services"
"Travel Clinic","gcid:travel_clinic","clinics","clinics & medical centers","clinics medical","healthcare,physicians","doctor's office","travel medicine physicians & surgeons","health clinics","clinics","travel clinic","travel","travel clinics","health and medical clinics","travel clinic","travel clinic","Travel Clinic","Local Services","Consulting/Business Services"
"Tree Farm","gcid:tree_farm","nurserymen","tree farms","farms","businesses and services,agriculture and forestry","farm","tree farms","nurseries - plants & trees","trees","tree farm","trees","farming - mixed","tree surgeons","tree farm","tree farm","Tree Farm","Tree Services","Tree Services"
"Tree Service","gcid:tree_service","tree service","tree services","tree service","businesses and services,home improvement,tree service","moving target","tree & stump removal services","tree service","tree services","tree services","tree services","tree surgeons","tree surgeons","tree service","tree service","Tree Service","Home Services","Tree Services"
"Trial Attorney","gcid:trial_attorney","attorneys","attorneys trial law","attorneys trial practice law","businesses and services,legal","financial or legal service","trial attorneys","lawyers","attorneys trial law","trial attorney","litigation & trial attorneys","legal services","barristers","trial attorney","trial attorney","Trial Attorney","Financial Services","Lawyers"
"Tribal Headquarters","gcid:tribal_headquarters","government offices-native american","government offices indian","indian affairs","community and government,government departments and agencies","office","native american government offices","government agencies","indian reservations & tribes","indian reservation","indian reservations & tribes","national associations","american indian and alaska native tribal governments","tribal headquarters","tribal headquarters","Tribal Headquarters","Local Services","Consulting/Business Services"
"Trinity Church","gcid:trinity_church","places of worship","churches trinity","churches","community and government,religious,churches","church","churches","churches","churches trinity","trinity church","churches","places of worship","places of worship","trinity church","trinity church","Trinity Church","Churches","Church"
"Triumph Motorcycle Dealer","gcid:triumph_motorcycle_dealer","motorcycles & motor scooters-dealers","motorcycles & motor scooters dealers repair &","motorcycles & motor scooters","automotive,motorcycles, mopeds and scooters","motorcycle shop","motorcycle, motor scooter & minibike dealers","motorcycle dealers","motorcycle dealers","triumph motorcycle dealer","triumph","motor cycles & scooters","motorbike and scooters retail","triumph motorcycle dealer","triumph motorcycle dealer","Triumph Motorcycle Dealer","Motorcycle Repair","Motorcycle Repair"
"Trophy Shop","gcid:trophy_shop","trophy cabinets","trophy shops","trophies medals & awards","retail","miscellaneous shop","trophy shops","trophies & awards","trophies retail","trophies & awards shops","trophy shops","trophies, medals & rosettes","trophy and medal suppliers","trophy shop","trophy shop","Trophy Shop","Trophy Shops","Trophy Shops"
"Tropical Fish Store","gcid:tropical_fish_store","tropical fish-retail","tropical & saltwater fish","tropical fish retail","retail,pets","pet store","tropical & saltwater fish retail","pet shops & supplies","tropical fish retail","tropical fish store","tropical fish","aquarium & pond supplies","aquarium and pond suppliers","tropical fish store","tropical fish store","Tropical Fish Store","Local Services","Consulting/Business Services"
"Truck Accessories Store","gcid:truck_accessories_store","truck accessories (whls)","truck accessories canopies & caps","truck equipment parts & accessories","automotive,car parts and accessories","automotive shop","truck equipment, parts, & accessories retail","auto parts (used & new)","truck accessories & supplies","truck accessories store","automotive accessories sales","car accessories","car accessories and parts","truck accessories store","truck accessories store","Truck Accessories Store","Accessories","Consulting/Business Services"
